STATE,YEAR,TOTAL_REVENUE_GROSS,FEDERAL_REVENUE_GROSS,STATE_REVENUE_GROSS,LOCAL_REVENUE_GROSS,TOTAL_EXPENDITURE_GROSS,INSTRUCTION_EXPENDITURE_GROSS,SUPPORT_SERVICES_EXPENDITURE_GROSS,CAPITAL_OUTLAY_EXPENDITURE_GROSS,ENROLMENT_GROSS,RULING_PARTY,POPULATION,AVERAGE_SCORE_GROSS,AM_AVERAGE_SCORE_GROSS,AS_AVERAGE_SCORE_GROSS,HI_AVERAGE_SCORE_GROSS,BL_AVERAGE_SCORE_GROSS,WH_AVERAGE_SCORE_GROSS,HP_AVERAGE_SCORE_GROSS,TR_AVERAGE_SCORE_GROSS,TOTAL_REVENUE_PCT,FEDERAL_REVENUE_PCT,STATE_REVENUE_PCT,LOCAL_REVENUE_PCT,TOTAL_EXPENDITURE_PCT,INSTRUCTION_EXPENDITURE_PCT,SUPPORT_SERVICES_EXPENDITURE_PCT,CAPITAL_OUTLAY_EXPENDITURE_PCT,ENROLMENT_PCT,AVERAGE_SCORE_PCT,AM_AVERAGE_SCORE_PCT,AS_AVERAGE_SCORE_PCT,HI_AVERAGE_SCORE_PCT,BL_AVERAGE_SCORE_PCT,WH_AVERAGE_SCORE_PCT,HP_AVERAGE_SCORE_PCT,TR_AVERAGE_SCORE_PCT,TOTAL_REVENUE_PC,FEDERAL_REVENUE_PC,STATE_REVENUE_PC,LOCAL_REVENUE_PC,TOTAL_EXPENDITURE_PC,INSTRUCTION_EXPENDITURE_PC,SUPPORT_SERVICES_EXPENDITURE_PC,CAPITAL_OUTLAY_EXPENDITURE_PC,ENROLMENT_PC
Colorado,1993,3058326,147793,1242337,1668196,3028305,1537714,954032,318959,50807,Democrat,3596454,216,0,0,0,0,0,0,0,-3.982421049,-9.469963799,-5.019090418,-2.668597507,-7.244520841,-6.377727149,-7.909302393,-12.55647549,0.313931448,-1.369863014,0,0,0,0,0,0,0,0.850372617,0.041094089,0.345433863,0.463844665,0.842025228,0.427563928,0.26527018,0.088687079,0.014126971
Connecticut,1993,4064158,149204,1433539,2481415,4079943,2302852,1190914,186802,39093,Independent,3322651,223.25,0,0,0,0,0,0,0,5.994728636,3.944490114,6.778201602,5.672123706,9.63645334,7.20707845,4.228426396,284.8255119,2.719533344,-0.556792873,0,0,0,0,0,0,0,1.223167284,0.044905107,0.43144435,0.746817827,1.227918009,0.693076703,0.358422838,0.056220771,0.011765605
Delaware,1993,683954,44497,443250,196207,694534,394680,207850,47372,8285,Democrat,701398,210.75,0,0,0,0,0,0,0,6.001087979,-3.151594298,5.299542455,10.01480269,8.727519788,5.891254071,6.636226047,54.83575748,0.157156673,-2.204176334,0,0,0,0,0,0,0,0.97512967,0.063440443,0.631952187,0.279737039,0.99021383,0.56270477,0.296336745,0.0675394,0.011812124
Florida,1993,11370156,947326,5520893,4901937,11425183,5333136,3557043,1424334,168509,Democrat,13851262,208,0,0,0,0,0,0,0,-1.183204087,20.15499353,-2.868709765,-2.622066656,1.057357026,3.227834454,4.298653546,-14.59936468,2.489417088,-1.421800948,0,0,0,0,0,0,0,0.820875094,0.068392757,0.398584115,0.353898222,0.824847801,0.385028888,0.25680281,0.10283063,0.012165606
Georgia,1993,4716559,296231,2243580,2176748,4647974,2538712,1323320,439808,99802,Democrat,6990687,210.5,0,0,0,0,0,0,0,-14.81590514,-25.70096388,-19.83417861,-6.957734174,-16.04005244,-16.599036,-15.12059518,-16.48855774,0.154543995,-1.635514019,0,0,0,0,0,0,0,0.674691772,0.042375091,0.320938414,0.311378267,0.664880862,0.363156296,0.189297561,0.062913416,0.014276422
Idaho,1993,890835,72747,547454,270634,899819,499914,260805,81359,18665,Democrat,1092910,220.9375,0,0,0,0,0,0,0,3.666348977,5.219994793,2.921911895,4.783586741,1.541254919,5.577343428,5.880561871,-26.93596041,0.311710647,0.198412698,0,0,0,0,0,0,0,0.815103714,0.066562663,0.500914073,0.247626978,0.82332397,0.457415524,0.238633556,0.074442543,0.017078259
Illinois,1993,10584624,632724,3467071,6484829,10744695,5520683,3352722,852085,138827,Republican,11727209,218.384375,0,0,0,0,0,0,0,8.575279654,5.970251743,12.81712286,6.68653485,9.076996638,10.18447629,6.474524501,17.06747745,4.287109375,0.302847629,0,0,0,0,0,0,0,0.902569742,0.053953502,0.29564332,0.55297292,0.916219281,0.470758473,0.285892577,0.072658806,0.011838026
Indiana,1993,5833420,278090,3005534,2549796,5668599,2862585,1619011,477709,72841,Democrat,5705057,220.5,0,0,0,0,0,0,0,15.27873787,8.187703273,16.57720326,14.59340132,9.374263181,10.14496378,9.493324605,-10.94231214,-1.245932755,-0.226244344,0,0,0,0,0,0,0,1.022499863,0.048744474,0.526819276,0.446936113,0.993609529,0.501762734,0.283785245,0.083734308,0.012767795
Iowa,1993,2880731,131444,1299055,1450232,2889377,1522556,818922,196098,36370,Republican,2821626,225.25,0,0,0,0,0,0,0,8.138227148,4.598734731,10.44460787,6.473117269,3.348017401,5.259533847,2.292366689,-11.70177319,-3.50737557,-0.989010989,0,0,0,0,0,0,0,1.020947142,0.046584487,0.460392341,0.513970314,1.024011332,0.539602343,0.290230527,0.069498225,0.012889731
Kansas,1993,2386945,123082,1165178,1098685,2522542,1309958,802965,195674,35975,Democrat,2540827,218.2708333,0,0,0,0,0,0,0,6.306238498,1.197944502,29.0056787,-9.982515706,12.86970645,12.37050171,13.321582,24.07596462,-0.105517452,0.250698496,0,0,0,0,0,0,0,0.939436254,0.048441708,0.458582186,0.43241236,0.992803524,0.515563633,0.316025058,0.077011934,0.014158776
